AAON,000001,0.860000,0.870000,2021/05/15 13:45:25
AAVL,000002,1.620000,1.800000,2021/05/29 17:01:25
ABAX,000002,9.380000,9.400000,2021/05/29 17:10:07
ABAX,000002,9.400000,10.000000,2021/05/29 17:10:34
AAON,000007,0.860000,0.890000,2021/05/29 17:16:58
AAON,000007,0.890000,1.000000,2021/05/29 17:18:21
AAON,000002,0.860000,0.900000,2021/05/31 11:12:05
AAWW,000002,3.170000,3.200000,2021/05/31 11:13:41
AAPL,000002,0.750000,7.800000,2021/05/31 11:15:38
AAON,000007,0.860000,0.870000,2021/05/31 12:32:10
AAPL,000001,0.750000,0.800000,2021/05/31 20:35:32
AAPL,000001,0.750000,0.800000,2021/05/31 20:53:56
SMTX,000001,0.270000,0.300000,2021/05/31 20:54:31
SMTX,000001,0.270000,0.300000,2021/05/31 20:56:13
AAON,000002,0.860000,0.900000,2021/05/31 22:30:39
AAPL,000002,0.750000,0.800000,2021/05/31 22:32:13
AAPL,000001,0.750000,0.800000,2021/06/02 10:26:47
AAON,000002,0.860000,0.900000,2021/06/02 10:30:41
AAON,000001,0.900000,1.000000,2021/06/02 10:31:16
AAPL,000001,0.750000,0.760000,2021/06/03 15:38:33
AAPL,000001,0.750000,0.760000,2021/06/03 15:50:35
AAON,000001,0.860000,0.870000,2021/06/03 16:35:35
AAON,000002,0.860000,0.870000,2021/06/09 11:08:38
AAPL,000001,0.750000,9.000000,2021/06/09 11:10:47
AAPL,000001,0.750000,0.800000,2021/06/09 12:19:26
AAPL,000002,0.750000,0.800000,2021/06/09 12:29:18
AAL,000001,1.320000,1.500000,2021/06/09 12:30:30
AAPL,000001,0.750000,0.800000,2021/06/09 14:23:39
AAPL,000001,0.800000,0.900000,2021/06/09 14:24:54
AAPL,000001,0.900000,10.000000,2021/06/09 14:25:35
AAON,000007,0.860000,0.870000,2021/06/11 13:13:40
AAWW,000001,3.170000,4.000000,2021/06/11 13:14:00
AAPL,000001,0.750000,0.800000,2021/06/12 00:01:15
ABCD,000001,3.820000,3.850000,2021/06/13 11:47:48
AAWW,000002,3.170000,3.180000,2021/06/13 19:28:36
AAON,000002,0.860000,0.900000,2021/06/13 20:40:13
AAON,000002,0.900000,1.000000,2021/06/13 21:13:30
AAON,000002,1.000000,1.200000,2021/06/13 21:15:30
AAON,000002,1.200000,1.300000,2021/06/13 21:20:39
AAL,000001,1.320000,1.400000,2021/06/13 21:23:24
AAL,000002,1.400000,1.430000,2021/06/13 21:24:15
AAL,000001,1.430000,1.440000,2021/06/13 21:26:25
ABCD,000001,3.820000,3.900000,2021/06/14 12:51:20
ABCD,000001,3.820000,3.900000,2021/06/14 13:02:35
AAPL,000001,0.750000,0.800000,2021/06/14 14:44:22
AAPL,000001,0.800000,0.900000,2021/06/14 14:49:54
AAON,000002,0.860000,0.870000,2021/06/14 15:03:22
AAPL,000002,0.750000,0.870000,2021/06/14 15:04:25
