AAPC,C000001,8400,8300,2021/05/30 20:06:50
AAON,C000001,7500,8000,2021/05/31 12:34:01
AAON,C000001,8000,9000,2021/05/31 12:34:52
AAON,C000001,7500,8000,2021/05/31 12:40:05
AAVL,C000001,3200,9000,2021/05/31 12:43:46
ABCD,C000001,7400,6000,2021/05/31 12:45:31
AAPL,C000001,9700,6000,2021/05/31 12:46:09
AAON,C000003,7500,6000,2021/05/31 22:35:11
AAON,C000001,7500,5000,2021/06/03 15:40:16
AAPC,C000001,8400,5000,2021/06/09 10:57:50
AAPC,C000001,5000,5000,2021/06/09 10:58:07
AAPC,C000001,8400,5000,2021/06/09 11:00:28
AAPL,C000001,9700,10000,2021/06/09 12:33:39
AAPL,C000001,10000,10000,2021/06/09 12:33:47
WXYZ,C000001,2000,1000,2021/06/14 10:02:37
WXYZ,C000001,1000,1200,2021/06/14 10:04:07
WXYZ,C000001,1200,1100,2021/06/14 10:05:25
WXYZ,C000001,2000,1200,2021/06/14 10:11:42
WXYZ,C000001,1200,1100,2021/06/14 10:20:52
WXYZ,C000002,1100,1000,2021/06/14 10:21:37
WXYZ,C000001,2000,1000,2021/06/14 13:09:16
AAPJ,C000001,7000,10000,2021/06/14 14:51:39
AAPJ,C000002,7000,3000,2021/06/14 15:04:58
AAPL,C000001,9700,5000,2021/06/14 15:09:55
